Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
0,ChatGPT,52,3,55,Conversation log
1,GPT-4,56,30,86,API log
2,ChatGPT,77,22,99,API log
3,GPT-4,95,1,96,Conversation log
4,ChatGPT,13,1,14,API log
5,GPT-4,22,21,43,API log
6,ChatGPT,84,36,120,Conversation log
7,GPT-4,95,34,129,API log
8,ChatGPT,32,8,40,API log
9,GPT-4,38,7,45,Conversation log
10,ChatGPT,88,12,100,API log
11,GPT-4,48,19,67,API log
12,ChatGPT,34,6,40,Conversation log
13,GPT-4,84,0,84,API log
14,ChatGPT,33,18,51,API log
15,GPT-4,46,4,50,Conversation log
16,ChatGPT,67,9,76,API log
17,GPT-4,59,10,69,API log
18,ChatGPT,17,19,36,Conversation log
19,GPT-4,12,20,32,API log
20,ChatGPT,87,2,89,API log
21,GPT-4,77,23,100,Conversation log
22,ChatGPT,85,45,130,API log
23,GPT-4,58,44,102,API log
24,ChatGPT,83,6,89,Conversation log
25,GPT-4,39,15,54,API log
26,ChatGPT,50,32,82,API log
27,GPT-4,80,1,81,Conversation log
28,ChatGPT,21,28,49,API log
29,GPT-4,37,41,78,API log
30,ChatGPT,21,39,60,Conversation log
31,GPT-4,50,3,53,API log
32,ChatGPT,97,13,110,API log
33,GPT-4,22,4,26,Conversation log
34,ChatGPT,44,25,69,API log
35,GPT-4,46,48,94,API log
36,ChatGPT,91,39,130,Conversation log
37,GPT-4,28,37,65,API log
38,ChatGPT,55,37,92,API log
39,GPT-4,33,16,49,Conversation log
40,ChatGPT,11,48,59,API log
41,GPT-4,77,6,83,API log
42,ChatGPT,15,6,21,Conversation log
43,GPT-4,35,19,54,API log
44,ChatGPT,54,23,77,API log
45,GPT-4,53,16,69,Conversation log
46,ChatGPT,20,23,43,API log
47,GPT-4,98,43,141,API log
48,ChatGPT,77,23,100,Conversation log
49,GPT-4,96,20,116,API log
50,ChatGPT,18,31,49,API log
51,GPT-4,75,4,79,Conversation log
52,ChatGPT,36,44,80,API log
53,GPT-4,58,46,104,API log
54,ChatGPT,93,1,94,Conversation log
55,GPT-4,34,31,65,API log
56,ChatGPT,75,49,124,API log
57,GPT-4,24,5,29,Conversation log
58,ChatGPT,39,7,46,API log
59,GPT-4,97,5,102,API log
60,ChatGPT,47,45,92,Conversation log
61,GPT-4,56,23,79,API log
62,ChatGPT,36,47,83,API log
63,GPT-4,20,4,24,Conversation log
64,ChatGPT,48,34,82,API log
65,GPT-4,66,31,97,API log
66,ChatGPT,51,26,77,Conversation log
67,GPT-4,79,30,109,API log
68,ChatGPT,42,6,48,API log
69,GPT-4,65,1,66,Conversation log
70,ChatGPT,79,30,109,API log
71,GPT-4,92,40,132,API log
72,ChatGPT,48,44,92,Conversation log
73,GPT-4,13,39,52,API log
74,ChatGPT,74,23,97,API log
75,GPT-4,57,45,102,Conversation log
76,ChatGPT,88,1,89,API log
77,GPT-4,51,33,84,API log
78,ChatGPT,43,25,68,Conversation log
79,GPT-4,15,34,49,API log
80,ChatGPT,51,43,94,API log
81,GPT-4,67,8,75,Conversation log
82,ChatGPT,79,38,117,API log
83,GPT-4,86,1,87,API log
84,ChatGPT,29,22,51,Conversation log
85,GPT-4,63,3,66,API log
86,ChatGPT,82,12,94,API log
87,GPT-4,33,48,81,Conversation log
88,ChatGPT,41,20,61,API log
89,GPT-4,85,32,117,API log
90,ChatGPT,62,47,109,Conversation log
91,GPT-4,55,47,102,API log
92,ChatGPT,70,4,74,API log
93,GPT-4,55,17,72,Conversation log
94,ChatGPT,98,49,147,API log
95,GPT-4,77,37,114,API log
96,ChatGPT,14,21,35,Conversation log
97,GPT-4,23,3,26,API log
98,ChatGPT,59,32,91,API log
99,GPT-4,83,8,91,Conversation log
100,ChatGPT,16,45,61,API log
101,GPT-4,71,13,84,API log
102,ChatGPT,78,22,100,Conversation log
103,GPT-4,80,27,107,API log
104,ChatGPT,88,24,112,API log
105,GPT-4,27,27,54,Conversation log
106,ChatGPT,59,40,99,API log
107,GPT-4,82,24,106,API log
108,ChatGPT,42,16,58,Conversation log
109,GPT-4,27,21,48,API log
110,ChatGPT,53,39,92,API log
111,GPT-4,17,28,45,Conversation log
112,ChatGPT,29,23,52,API log
113,GPT-4,86,48,134,API log
114,ChatGPT,70,12,82,Conversation log
115,GPT-4,87,22,109,API log
116,ChatGPT,85,47,132,API log
117,GPT-4,88,41,129,Conversation log
118,ChatGPT,37,28,65,API log
119,GPT-4,52,2,54,API log
120,ChatGPT,65,27,92,Conversation log
121,GPT-4,34,19,53,API log
122,ChatGPT,92,48,140,API log
123,GPT-4,10,28,38,Conversation log
124,ChatGPT,85,28,113,API log
125,GPT-4,68,31,99,API log
126,ChatGPT,32,20,52,Conversation log
127,GPT-4,74,12,86,API log
128,ChatGPT,47,25,72,API log
129,GPT-4,85,19,104,Conversation log
130,ChatGPT,99,41,140,API log
131,GPT-4,35,47,82,API log
132,ChatGPT,52,23,75,Conversation log
133,GPT-4,29,32,61,API log
134,ChatGPT,72,9,81,API log
135,GPT-4,67,29,96,Conversation log
136,ChatGPT,86,7,93,API log
137,GPT-4,82,3,85,API log
138,ChatGPT,97,10,107,Conversation log
139,GPT-4,96,2,98,API log
140,ChatGPT,90,43,133,API log
141,GPT-4,23,10,33,Conversation log
142,ChatGPT,13,45,58,API log
143,GPT-4,53,6,59,API log
144,ChatGPT,41,33,74,Conversation log
145,GPT-4,90,49,139,API log
146,ChatGPT,81,5,86,API log
147,GPT-4,48,0,48,Conversation log
148,ChatGPT,61,14,75,API log
149,GPT-4,63,18,81,API log
150,ChatGPT,90,24,114,Conversation log
151,GPT-4,12,2,14,API log
152,ChatGPT,54,3,57,API log
153,GPT-4,70,32,102,Conversation log
154,ChatGPT,50,4,54,API log
155,GPT-4,92,2,94,API log
156,ChatGPT,95,19,114,Conversation log
157,GPT-4,84,3,87,API log
158,ChatGPT,51,7,58,API log
159,GPT-4,89,3,92,Conversation log
160,ChatGPT,16,24,40,API log
161,GPT-4,69,13,82,API log
162,ChatGPT,34,41,75,Conversation log
163,GPT-4,32,28,60,API log
164,ChatGPT,71,16,87,API log
165,GPT-4,79,40,119,Conversation log
166,ChatGPT,89,9,98,API log
167,GPT-4,29,13,42,API log
168,ChatGPT,88,6,94,Conversation log
169,GPT-4,84,14,98,API log
170,ChatGPT,38,20,58,API log
171,GPT-4,15,41,56,Conversation log
172,ChatGPT,79,18,97,API log
173,GPT-4,84,37,121,API log
174,ChatGPT,51,42,93,Conversation log
175,GPT-4,24,6,30,API log
176,ChatGPT,23,36,59,API log
177,GPT-4,43,40,83,Conversation log
178,ChatGPT,78,17,95,API log
179,GPT-4,38,41,79,API log
180,ChatGPT,12,40,52,Conversation log
181,GPT-4,72,8,80,API log
182,ChatGPT,76,8,84,API log
183,GPT-4,26,31,57,Conversation log
184,ChatGPT,60,20,80,API log
185,GPT-4,45,9,54,API log
186,ChatGPT,55,48,103,Conversation log
187,GPT-4,10,12,22,API log
188,ChatGPT,67,8,75,API log
189,GPT-4,33,24,57,Conversation log
190,ChatGPT,59,18,77,API log
191,GPT-4,47,26,73,API log
192,ChatGPT,64,16,80,Conversation log
193,GPT-4,19,23,42,API log
194,ChatGPT,42,23,65,API log
195,GPT-4,66,27,93,Conversation log
